clip_id,behavior,event_id,start_seconds,eligible_time_seconds,end_seconds,label,split,group_id,annotator,reviewer,annotation_status,notes
line_crossing_negative_P02_low_light_side_oblique,line_crossing,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P03_daylight_frontal_oblique,line_crossing,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P03_daylight_side_oblique,line_crossing,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P03_low_light_frontal_oblique,line_crossing,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P03_low_light_side_oblique,line_crossing,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P04_daylight_frontal_oblique,line_crossing,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P04_daylight_side_oblique,line_crossing,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P04_low_light_frontal_oblique,line_crossing,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P04_low_light_side_oblique,line_crossing,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P05_daylight_frontal_oblique,line_crossing,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P05_daylight_side_oblique,line_crossing,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P05_low_light_frontal_oblique,line_crossing,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P05_low_light_side_oblique,line_crossing,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
